config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,n_reps,reduced_repetitions,censored,budget_limited,wall_median_s,wall_iqr_s,wall_p90_s,wall_ci_lo_s,wall_ci_hi_s,wall_ci_rel_half_width,cpu_median_s,cpu_iqr_s,cpu_p90_s,peak_rss_bytes,legal_blocks_total,legal_blocks_times_skills,trace_occurrences,forward_states,forward_total_reductions,role_relation_density,role_mean_predecessors,loadavg_before_1m,loadavg_after_1m,speed_probe_median_s,speed_normalised_wall_median_s
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,build,main,20260822,emission_build,5,1,0,0,2.722352500,0.002708083,2.729228708,2.706094750,2.733376125,0.005011,2.722199000,0.002667000,2.729076200,205107200,19440,194400,2048,20480,397600,0.259837,12.7320,1.41,1.55,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,build,main,20260822,emission_cache_hit,6,1,0,0,0.000794750,0.000004178,0.000828042,0.000778167,0.000828042,0.031378,0.000794500,0.000004500,0.000827000,205107200,19440,194400,2048,20480,397600,0.259837,12.7320,1.41,1.55,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,cond,main,20260822,cond_plain,5,1,0,0,0.060839875,0.001110417,0.061123000,0.055072875,0.061135750,0.049826,0.060824000,0.001099000,0.061108600,344920064,19440,194400,2048,20480,397600,0.259837,12.7320,1.40,1.32,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,cond,main,20260822,cond_structural,5,1,0,0,2.809445875,0.009137125,2.822959325,2.801044667,2.827284791,0.004670,2.809276000,0.009037000,2.822779800,344920064,19440,194400,2048,20480,397600,0.259837,12.7320,1.40,1.32,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,marg,main,20260822,marg_plain,6,1,0,0,0.059913604,0.000603874,0.060505125,0.057056187,0.060505125,0.028783,0.059913000,0.000601250,0.060502500,335781888,19440,194400,2048,20480,397600,0.259837,12.7320,1.32,1.41,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,marg,main,20260822,marg_structural,5,1,0,0,2.935577708,0.018406500,2.942700950,2.897413000,2.947253500,0.008489,2.935393000,0.018412000,2.942519600,335781888,19440,194400,2048,20480,397600,0.259837,12.7320,1.32,1.41,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,primitives,main,20260822,backward_sample,5,1,0,0,0.019702916,0.000255292,0.019836484,0.019485708,0.019879750,0.010000,0.019702000,0.000256000,0.019836800,220102656,19440,194400,2048,20480,397600,0.259837,12.7320,1.55,2.46,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,primitives,main,20260822,ffbs_complete,5,1,0,0,0.032449250,0.000168792,0.032657333,0.032259250,0.032685500,0.006568,0.032449000,0.000166000,0.032650000,220102656,19440,194400,2048,20480,397600,0.259837,12.7320,1.55,2.46,nan,
A_full/N16_J128_K10_A50_D12_full_s20260822,A_full,A_full_50,16,128,10,50,3,12,full,primitives,main,20260822,forward_batched,7,1,0,0,0.012873291,0.000169125,0.012930983,0.012685833,0.012915750,0.008930,0.012873000,0.000169000,0.012930800,220102656,19440,194400,2048,20480,397600,0.259837,12.7320,1.55,2.46,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,build,main,20260822,emission_build,15,0,0,0,0.220556750,0.001068041,0.221352208,0.219969792,0.220975458,0.002280,0.220444000,0.001012500,0.221213800,161812480,19440,194400,2048,20480,397600,0.255000,1.0200,1.86,1.87,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,build,main,20260822,emission_cache_hit,15,0,0,0,0.000115208,0.000007979,0.000121367,0.000111917,0.000119375,0.032368,0.000115000,0.000008000,0.000121600,161812480,19440,194400,2048,20480,397600,0.255000,1.0200,1.86,1.87,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,cond,main,20260822,cond_plain,15,0,0,0,0.038509834,0.000459584,0.038834433,0.038319166,0.038718588,0.005186,0.038445000,0.000447000,0.038783000,316751872,19440,194400,2048,20480,397600,0.255000,1.0200,1.65,1.84,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,cond,main,20260822,cond_structural,15,0,0,0,0.256621500,0.002796188,0.258286308,0.254089500,0.257931292,0.007485,0.256474000,0.002773500,0.258122600,316751872,19440,194400,2048,20480,397600,0.255000,1.0200,1.65,1.84,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,marg,main,20260822,marg_plain,15,0,0,0,0.038201041,0.000492354,0.038786650,0.038099083,0.038479125,0.004974,0.038131000,0.000531500,0.038702800,363061248,19440,194400,2048,20480,397600,0.255000,1.0200,1.93,1.86,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,marg,main,20260822,marg_structural,15,0,0,0,0.281451791,0.002048625,0.284437067,0.280867542,0.282728458,0.003306,0.281226000,0.002009000,0.284204600,363061248,19440,194400,2048,20480,397600,0.255000,1.0200,1.93,1.86,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,primitives,main,20260822,backward_sample,15,0,0,0,0.014856750,0.000295542,0.015167708,0.014688500,0.014929958,0.008126,0.014853000,0.000275500,0.015147800,171094016,19440,194400,2048,20480,397600,0.255000,1.0200,1.87,1.87,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,primitives,main,20260822,ffbs_complete,15,0,0,0,0.023497875,0.000314292,0.023905392,0.023414292,0.023661917,0.005269,0.023483000,0.000329500,0.023900200,171094016,19440,194400,2048,20480,397600,0.255000,1.0200,1.87,1.87,nan,
A_full/N16_J128_K10_A5_D12_full_s20260822,A_full,A_full_5,16,128,10,5,3,12,full,primitives,main,20260822,forward_batched,15,0,0,0,0.008539917,0.000159500,0.008642625,0.008435666,0.008594958,0.009326,0.008540000,0.000160000,0.008630600,171094016,19440,194400,2048,20480,397600,0.255000,1.0200,1.87,1.87,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,build,main,20260822,emission_build,15,0,0,0,0.842708917,0.050262667,0.905291325,0.833961166,0.895709084,0.036637,0.798511000,0.014426500,0.818035800,207020032,19440,194400,2048,20480,397600,0.237778,2.1400,13.73,13.13,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,build,main,20260822,emission_cache_hit,41,0,0,0,0.000318917,0.000084959,0.000363959,0.000304458,0.000326917,0.035211,0.000319000,0.000082000,0.000361000,207020032,19440,194400,2048,20480,397600,0.237778,2.1400,13.73,13.13,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,cond,main,20260822,cond_plain,16,0,0,0,0.091614667,0.007822345,0.101230667,0.087703291,0.095950834,0.045012,0.089524000,0.005494250,0.096727000,365694976,19440,194400,2048,20480,397600,0.237778,2.1400,15.00,14.11,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,cond,main,20260822,cond_structural,15,0,0,0,0.929546542,0.033026854,0.988055491,0.918301000,0.947955500,0.015951,0.889402000,0.030095000,0.917029400,365694976,19440,194400,2048,20480,397600,0.237778,2.1400,15.00,14.11,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,marg,main,20260822,marg_plain,15,0,0,0,0.088882666,0.005346938,0.095616933,0.085616916,0.089927292,0.024248,0.086586000,0.004880000,0.090959000,330874880,19440,194400,2048,20480,397600,0.237778,2.1400,13.94,13.17,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,marg,main,20260822,marg_structural,15,0,0,0,0.962367084,0.036589438,0.999742842,0.950388791,0.989044292,0.020084,0.928232000,0.027127500,0.957403600,330874880,19440,194400,2048,20480,397600,0.237778,2.1400,13.94,13.17,nan,
A_sparse/N16_J128_K10_A10_D12_sparse_s20260822,A_sparse,A_sparse_10,16,128,10,10,3,12,sparse,primitives,main,20260822,backward_sample,23,0,0,0,0.035828959,0.004465979,0.040320983,0.034566250,0.037649875,0.043033,0.035411000,0.004037000,0.038751000,215482368,19440,194400,2048,20480,397600,0.237778,2.1400,15.52,15.00,nan,
