config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,peak_rss_bytes,peak_rss_mib,dense_block_table_bytes,dense_copies_live_in_this_group,batched_stack_bytes_worst_class,alpha_chart_bytes,batched_alpha_r_bytes,fast_cumulative_bytes,predicted_arrays_total_bytes,predicted_process_rss_bytes,projected_banded_bytes_NOT_IMPLEMENTED,projected_banded_saving_ratio_NOT_IMPLEMENTED,swap_used_mb
J/N16_J1024_K10_A20_D12_full_s20260822,J,J_1024,16,1024,10,20,3,12,full,build,main,20260822,1685884928,1607.79,1343488000,1,1343488000,1312000,2624000,15697920,2706609920,2937296640,13081600,102.70058708414872,1531.38
J/N16_J1024_K10_A20_D12_full_s20260822,J,J_1024,16,1024,10,20,3,12,full,cond,main,20260822,4995375104,4763.96,1343488000,2,1343488000,1312000,2624000,15697920,4050097920,4280784640,13081600,102.70058708414872,1531.38
J/N16_J1024_K10_A20_D12_full_s20260822,J,J_1024,16,1024,10,20,3,12,full,marg,main,20260822,5131534336,4893.81,1343488000,2,1343488000,1312000,2624000,15697920,4050097920,4280784640,13081600,102.70058708414872,1531.38
J/N16_J1024_K10_A20_D12_full_s20260822,J,J_1024,16,1024,10,20,3,12,full,primitives,main,20260822,3023478784,2883.41,1343488000,1,1343488000,1312000,2624000,15697920,2706609920,2937296640,13081600,102.70058708414872,1531.38
J/N16_J192_K10_A20_D12_full_s20260822,J,J_192,16,192,10,20,3,12,full,build,main,20260822,272707584,260.07,47431680,1,47431680,247040,494080,2918400,98522880,329209600,2432000,19.50315789473684,1563.38
J/N16_J192_K10_A20_D12_full_s20260822,J,J_192,16,192,10,20,3,12,full,cond,main,20260822,578506752,551.71,47431680,2,47431680,247040,494080,2918400,145954560,376641280,2432000,19.50315789473684,1563.38
J/N16_J192_K10_A20_D12_full_s20260822,J,J_192,16,192,10,20,3,12,full,marg,main,20260822,586346496,559.18,47431680,2,47431680,247040,494080,2918400,145954560,376641280,2432000,19.50315789473684,1563.38
J/N16_J192_K10_A20_D12_full_s20260822,J,J_192,16,192,10,20,3,12,full,primitives,main,20260822,274100224,261.4,47431680,1,47431680,247040,494080,2918400,98522880,329209600,2432000,19.50315789473684,1563.38
J/N16_J24_K10_A20_D12_full_s20260822,J,J_24,16,24,10,20,3,12,full,build,main,20260822,120823808,115.23,768000,1,768000,32000,64000,337920,1969920,232656640,281600,2.727272727272727,1563.38
J/N16_J24_K10_A20_D12_full_s20260822,J,J_24,16,24,10,20,3,12,full,cond,main,20260822,131846144,125.74,768000,2,768000,32000,64000,337920,2737920,233424640,281600,2.727272727272727,1563.38
J/N16_J24_K10_A20_D12_full_s20260822,J,J_24,16,24,10,20,3,12,full,marg,main,20260822,131493888,125.4,768000,2,768000,32000,64000,337920,2737920,233424640,281600,2.727272727272727,1563.38
J/N16_J24_K10_A20_D12_full_s20260822,J,J_24,16,24,10,20,3,12,full,primitives,main,20260822,116264960,110.88,768000,1,768000,32000,64000,337920,1969920,232656640,281600,2.727272727272727,1563.38
