config_id,axis,label,N,J,K,A,D_min,D_max,regime,group,phase,seed,operation,rep_index,wall_seconds,cpu_seconds
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,14,0.081211667,0.080721000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,15,0.124307667,0.092527000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,16,0.085642792,0.084548000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,17,0.085691334,0.083285000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,18,0.079196459,0.078620000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,19,0.088460667,0.085103000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,20,0.085805708,0.083967000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_plain,21,0.089230708,0.087887000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,0,0.923608583,0.888530000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,1,1.042754709,0.912407000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,2,0.948190583,0.918227000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,3,0.988507875,0.929582000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,4,0.953285208,0.911715000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,5,0.947369041,0.895811000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,6,0.899350958,0.877381000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,7,0.890755375,0.876921000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,8,0.928006000,0.900477000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,9,0.928490875,0.887982000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,10,0.911701667,0.864897000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,11,0.896984542,0.874559000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,12,0.890841083,0.873811000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,13,0.869090958,0.853527000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,cond,main,20260822,cond_structural,14,0.870111042,0.851305000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,0,0.096892666,0.090195000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,1,0.099345875,0.089522000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,2,0.114406417,0.095723000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,3,0.100968792,0.093816000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,4,0.103320916,0.096436000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,5,0.083739041,0.080367000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,6,0.094245542,0.089669000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,7,0.092766083,0.089730000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,8,0.090353875,0.081610000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,9,0.114481000,0.102066000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,10,0.106247667,0.094260000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,11,0.106438417,0.095464000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,12,0.101159000,0.093233000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,13,0.114723833,0.103110000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,14,0.095335375,0.087464000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,15,0.091429375,0.084540000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,16,0.102600041,0.092954000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_plain,17,0.095742083,0.089219000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,0,1.101416417,0.980391000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,1,1.087809625,0.955478000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,2,1.095695958,0.960383000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,3,1.137488292,1.019046000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,4,1.162604875,0.977723000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,5,1.075904709,0.985051000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,6,1.073286042,0.987221000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,7,1.024758000,0.954328000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,8,1.131648375,0.969735000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,9,1.047677208,0.969942000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,10,1.036131208,0.954390000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,11,1.093111666,0.965075000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,12,1.069251000,0.978483000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,13,1.096010125,0.993029000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,marg,main,20260822,marg_structural,14,1.085085500,0.979969000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,0,0.054329833,0.041547000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,1,0.041856583,0.039366000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,2,0.034672333,0.034209000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,3,0.045299750,0.040823000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,4,0.040194542,0.037952000
A_full/N16_J128_K10_A10_D12_full_s20260822,A_full,A_full_10,16,128,10,10,3,12,full,primitives,main,20260822,backward_sample,5,0.041753625,0.040727000
